Country;Country_Code;Region;Region_Code;Latitude;Longitude
Egypt;EG;Al GharbÄ«y;EG;30.8393003;30.9963429
Egypt;EG;Al JÄ«z;EG;29.9870753;31.2118063
Egypt;EG;Al IsmÄ'Ä«l�;EG;30.6043775;32.2770825
Egypt;EG;JanÅ«b SÄ«;EG;28.64495635;33.8711312956512
Egypt;EG;Al QalyÅ«bÄ�;EG;30.33362925;31.2213568641637
Egypt;EG;Kafr ash Shaykh;EG;31.381476499999998;30.8513566099307
Egypt;EG;QinÄ;EG;26.1615051;32.7182974
Egypt;EG;Al UqÅŸ;EG;25.702096;32.647186
Egypt;EG;Al MinyÄ;EG;28.0893325;30.7570623
Egypt;EG;Al MinÅ«fÄ�;EG;30.4370098;30.7466851638558
Egypt;EG;MaÅ£rÅ�;EG;31.3528567;27.2395262
Egypt;EG;BÅ«r Saâ�;EG;31.1821275;32.3725819650014
Egypt;EG;SÅ«h�;EG;26.547748;31.699263
Egypt;EG;Ash SharqÄ«y;EG;30.63327745;31.7893739179913
Egypt;EG;ShamÄl SÄ«;EG;30.50428025;33.5910060239521
Egypt;EG;As Suways;EG;29.4165427;32.1490967
Egypt;EG;Al WÄdÄ« al Ja;EG;24.8766665;28.7757345317604
Eritrea;ER;AnsabÄ;ER;16.5000101;37.5000048
Eritrea;ER;Gash-Barka;ER;15.25;37.5
Ethiopia;ET;Addis Ababa;ET;9.0358287;38.7524127
Ethiopia;ET;Afar;ET;11.7108206;41.0330866
Ethiopia;ET;Amara;ET;11.5;38.5
Ethiopia;ET;Benshangul-Gumaz;ET;10.3778251;35.5084442
Ethiopia;ET;Dire Dawa;ET;9.591323;41.8566341
Ethiopia;ET;Harari People;ET;9.2905517;42.1885672
Ethiopia;ET;Oromia;ET;7.6721644;40.0299727
Ethiopia;ET;Sidama;ET;6.6507504;38.4796794479203
Ethiopia;ET;Somali;ET;7.2629844;43.5360531
Gabon;GA;Estuaire;GA;0.4302639;9.4655189
Gabon;GA;Haut-OgoouÃ;GA;-1.231544;13.8309713293192
Gabon;GA;Moyen-OgoouÃ;GA;-0.5003495;10.4991063
Gabon;GA;NgouniÃ;GA;-1.5910727;10.978503
Gabon;GA;Nyanga;GA;-3.0080415;10.9964746
Gabon;GA;OgoouÃ©-Ivin;GA;0.60082;12.6887911
Gabon;GA;OgoouÃ©-Lo;GA;-1.0002904;12.4952424
Gabon;GA;OgoouÃ©-Mariti;GA;-1.4958157;9.5060896
Gabon;GA;Woleu-Ntem;GA;1.2950125;11.8218827
Ghana;GH;Greater Accra;GH;5.8101532;0.0995242
Ghana;GH;Ahafo;GH;6.90966445;-2.23301229669743
Ghana;GH;Ashanti;GH;6.8003319;-1.5188142
Ghana;GH;Bono East;GH;7.8035236;-1.0876492
Ghana;GH;Bono;GH;10.4032142;-2.7020869
Ghana;GH;Central;GH;5.7244148;-1.3761749
Ghana;GH;Eastern;GH;6.446877;-0.3770964
Ghana;GH;North East;GH;10.5279933;-0.3698625
Ghana;GH;Northern;GH;9.6600005;-0.3943799
Ghana;GH;Oti;GH;6.687858151524901;-1.61480337585764
Ghana;GH;Savannah;GH;9.1400654;-1.7111234
Ghana;GH;Volta;GH;6.5348624;0.4556055
Ghana;GH;Upper East;GH;10.8070481;-0.6870286
Ghana;GH;Upper West;GH;10.3669525;-2.0921426
Ghana;GH;Western North;GH;6.45443865;-2.31808455
Ghana;GH;Western;GH;5.4261241;-2.1286574
Gambia;GM;Banjul;GM;13.4410165;-16.5627509207259
Gambia;GM;Lower River;GM;13.3978304;-15.7263312195759
Gambia;GM;Central River;GM;13.575073849999999;-14.779714697602
Gambia;GM;North Bank;GM;13.473128299999999;-16.1334359118446
Gambia;GM;Upper River;GM;13.40499765;-14.1495575886476
Gambia;GM;Western;GM;13.25851295;-16.4997039452513
Guinea;GN;BokÃ;GN;11.3406898;-13.9440724
Guinea;GN;Beyla;GN;8.909431999999999;-8.36747547667369
Guinea;GN;Boffa;GN;10.1812281;-14.0377043
Guinea;GN;BokÃ;GN;11.3406898;-13.9440724
Guinea;GN;Conakry;GN;9.5170602;-13.6998434
Guinea;GN;Coyah;GN;9.709041;-13.388956
Guinea;GN;Kindia;GN;10.1154374;-13.1916883
Guinea;GN;Dabola;GN;10.742172;-11.106486
Guinea;GN;Dinguiraye;GN;11.5325439;-10.6727267766827
Guinea;GN;Dalaba;GN;10.6911854;-12.2516243
Guinea;GN;DubrÃ©;GN;9.7889809;-13.5169725
Guinea;GN;Faranah;GN;10.3143203;-10.890097
Guinea;GN;Faranah;GN;10.3143203;-10.890097
Guinea;GN;ForÃ©cari;GN;9.4300088;-13.0833859
Guinea;GN;Fria;GN;10.363036;-13.581185
Guinea;GN;Gaoual;GN;11.754096;-13.200333
Guinea;GN;GuÃ©kÃ�;GN;8.561649;-10.132821
Guinea;GN;Kankan;GN;10.6248355;-9.3175166
Guinea;GN;Kankan;GN;10.6248355;-9.3175166
Guinea;GN;Koubia;GN;11.586028;-11.894333
Guinea;GN;Kindia;GN;10.1154374;-13.1916883
Guinea;GN;KÃ©rouan;GN;9.2705687;-9.0076196
Guinea;GN;Koundara;GN;12.485154;-13.298509
Guinea;GN;Kouroussa;GN;10.6513609;-9.881002
Guinea;GN;Kissidougou;GN;9.192389;-10.098269
Guinea;GN;LabÃ;GN;11.7614835;-12.0118889
Guinea;GN;LabÃ;GN;11.7614835;-12.0118889
Guinea;GN;LÃ©lou;GN;11.4257233;-12.6828521
Guinea;GN;Lola;GN;8.0166961;-8.30784256326609
Guinea;GN;Mamou;GN;10.6619269;-12.1139542
Guinea;GN;Macenta;GN;8.294829199999999;-9.20944628506547
Guinea;GN;Mandiana;GN;10.6221083;-8.6949519
Guinea;GN;Mali;GN;12.0755231;-12.2956935
Guinea;GN;Mamou;GN;10.6619269;-12.1139542
Guinea;GN;NzÃ©rÃ©k;GN;8.3925728;-8.8572519
Guinea;GN;NzÃ©rÃ©k;GN;8.3925728;-8.8572519
Guinea;GN;Pita;GN;11.0564638;-12.3950499
Guinea;GN;Siguiri;GN;11.4195265;-9.1751513
Guinea;GN;TÃ©limÃ�;GN;10.9020333;-13.0326711
Guinea;GN;TouguÃ;GN;11.4394566;-11.6629484
Guinea;GN;Yomou;GN;7.53455495;-9.12501132895843
Equatorial Guinea;GQ;Annobon;GQ;-1.4343840499999998;5.63742363003393
Equatorial Guinea;GQ;Bioko Nord;GQ;3.6484594;8.7851155
Equatorial Guinea;GQ;Bioko Sud;GQ;3.4245254;8.6646092
Equatorial Guinea;GQ;RÃ©gion Continenta;GQ;1.63539835;10.4693831202904
Equatorial Guinea;GQ;Djibloho;GQ;1.5981375500000001;10.7970667153464
Equatorial Guinea;GQ;RÃ©gion Insulai;GQ;3.49865235;8.71360618386764
Equatorial Guinea;GQ;KiÃ©-Nt;GQ;2.0579266;10.9855916
Equatorial Guinea;GQ;Wele-Nzas;GQ;1.4648719;11.131676
Guinea-Bissau;GW;BafatÃ;GW;12.13485115;-14.7503609856523
Guinea-Bissau;GW;Bolama / BijagÃ�;GW;11.27950645;-16.0294424760492
Guinea-Bissau;GW;Biombo;GW;11.8816758;-15.778449573524
Guinea-Bissau;GW;Bissau;GW;11.861324;-15.583055
Guinea-Bissau;GW;Cacheu;GW;12.274246;-16.1648911
Guinea-Bissau;GW;GabÃ;GW;12.11703505;-14.1762505779696
Guinea-Bissau;GW;Leste;GW;12.118438000000001;-14.4558004532339
Guinea-Bissau;GW;Oio;GW;12.2876092;-15.338765788765
Guinea-Bissau;GW;Quinara;GW;11.63401145;-15.0952685332172
Guinea-Bissau;GW;Sul;GW;-15.849624;-47.8581975231922
Guinea-Bissau;GW;Tombali;GW;11.2981082;-15.1170104471047
Kenya;KE;Baringo;KE;0.71400995;36.0172739
Kenya;KE;Bomet;KE;-0.7196054000000001;35.2399625010428
Kenya;KE;Bungoma;KE;0.78292445;34.719168107319
Kenya;KE;Busia;KE;0.3712048;34.2647952060831
Kenya;KE;Elgeyo/Marakwet;KE;0.7422191499999999;35.5618083135393
Kenya;KE;Embu;KE;-0.5359479;37.6652884382665
Kenya;KE;Garissa;KE;-0.52363325;40.3564053496207
Kenya;KE;Homa Bay;KE;-0.56396015;34.318781855908
Kenya;KE;Isiolo;KE;1.0060600499999999;38.7478953854063
Kenya;KE;Kajiado;KE;-2.12171705;36.78625503676
Kenya;KE;Kakamega;KE;0.4957104;34.8015488616346
Kenya;KE;Kericho;KE;-0.32099679999999997;35.2261275977538
Kenya;KE;Kiambu;KE;-1.0363950499999999;36.8431311631108
Kenya;KE;Kilifi;KE;-3.15073925;39.6750715919372
Kenya;KE;Kirinyaga;KE;-0.46887805;37.3027681039324
Kenya;KE;Kisii;KE;-0.73894255;34.7539855120173
Kenya;KE;Kisumu;KE;-0.1029109;34.7541761
Kenya;KE;Kitui;KE;-1.5642219499999999;38.372811618864
Kenya;KE;Kwale;KE;-4.1836067;39.105094975233
Kenya;KE;Laikipia;KE;0.2858452;36.8257710768291
Kenya;KE;Lamu;KE;-2.2675396;40.9010641
Kenya;KE;Machakos;KE;-1.27900465;37.3952697645255
Kenya;KE;Makueni;KE;-2.25709305;37.8771714816272
Kenya;KE;Mandera;KE;3.2285332;40.7056153165154
Kenya;KE;Marsabit;KE;2.85795825;37.7154891859004
Kenya;KE;Meru;KE;0.2254509;37.7772623716369
Kenya;KE;Migori;KE;-1.01922365;34.3095427017457
Kenya;KE;Mombasa;KE;-4.05052;39.667169
Kenya;KE;Murang'a;KE;-0.83170875;37.0049216277986
Kenya;KE;Nairobi City;KE;-1.2324273;36.8080505
